Eddelak
 53,9569       9,1504        12            1            Azimut = 0    Höhe = 15

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk, Ta,Snd,RR, FF, RH
 2005, 1, 6, 21,0,0,0,0,0.4,29,0.0,2.5,80
 2005, 1, 6, 22,0,0,0,0,0.3,29,0.0,1.8,82
 2005, 1, 6, 23,0,0,0,0,0.1,28,0.0,1.8,80
 2005, 1, 6, 24,0,0,0,0,0.0,28,0.0,1.4,79
 2005, 1, 7, 1,0,0,0,0,-0.1,28,0.0,1.4,79
 2005, 1, 7, 2,0,0,0,0,-0.1,28,0.0,1.0,81
 2005, 1, 7, 3,0,0,0,0,-0.2,28,0.0,1.1,83
 2005, 1, 7, 4,0,0,0,0,-0.2,28,0.0,1.3,80
 2005, 1, 7, 5,0,0,0,0,-0.2,28,0.0,1.4,84
 2005, 1, 7, 6,0,0,0,0,-0.2,28,0.0,1.2,86
 2005, 1, 7, 7,0,0,0,0,-0.1,27,0.0,0.9,87
 2005, 1, 7, 8,0,0,0,0,-0.1,27,0.0,1.2,86
 2005, 1, 7, 9,0,0,0,0,-0.1,27,0.0,1.1,87
 2005, 1, 7, 10,7,7,6,6,0.0,33,1.2,1.1,93
 2005, 1, 7, 11,13,13,12,12,0.5,34,0.2,1.2,92
 2005, 1, 7, 12,16,16,15,15,0.8,34,0.1,1.4,92
 2005, 1, 7, 13,22,22,20,20,1.0,34,0.0,1.0,94
 2005, 1, 7, 14,149,82,249,110,2.7,33,0.0,1.5,88
 2005, 1, 7, 15,103,59,186,82,3.5,32,0.0,1.6,88
 2005, 1, 7, 16,44,31,93,46,3.5,32,0.0,1.2,78
 2005, 1, 7, 17,0,0,0,0,3.0,31,0.0,1.4,80
 2005, 1, 7, 18,0,0,0,0,2.6,30,0.0,1.6,84
 2005, 1, 7, 19,0,0,0,0,2.2,30,0.0,1.9,88
 2005, 1, 7, 20,0,0,0,0,1.9,29,0.0,2.1,88
 2005, 1, 7, 21,0,0,0,0,1.5,29,0.0,2.0,87
 2005, 1, 7, 22,0,0,0,0,1.1,29,0.0,2.2,87
 2005, 1, 7, 23,0,0,0,0,0.8,28,0.0,2.2,87
 2005, 1, 7, 24,0,0,0,0,0.4,28,0.0,2.2,88
 2005, 1, 8, 1,0,0,0,0,-0.6,36,1.7,1.9,92
 2005, 1, 8, 2,0,0,0,0,-1.0,36,0.0,2.0,93
 2005, 1, 8, 3,0,0,0,0,-1.7,36,0.0,2.2,93
 2005, 1, 8, 4,0,0,0,0,-2.1,37,0.2,1.7,90
 2005, 1, 8, 5,0,0,0,0,-2.6,39,0.5,1.3,94
 2005, 1, 8, 6,0,0,0,0,-2.9,39,0.0,0.8,98
 2005, 1, 8, 7,0,0,0,0,-3.2,39,0.0,0.5,99
 2005, 1, 8, 8,0,0,0,0,-3.5,39,0.0,0.7,99
 2005, 1, 8, 9,0,0,0,0,-3.5,39,0.0,0.9,98
 2005, 1, 8, 10,5,5,4,4,-3.5,39,0.0,1.2,98
 2005, 1, 8, 11,12,12,11,11,-3.5,39,0.1,1.9,95
 2005, 1, 8, 12,18,18,16,16,-3.5,39,0.0,2.4,96
 2005, 1, 8, 13,20,20,18,18,-3.5,39,0.0,3.0,97
 2005, 1, 8, 14,126,83,193,104,-3.0,39,0.0,4.0,98
 2005, 1, 8, 15,89,63,142,81,-2.8,39,0.0,3.2,95
 2005, 1, 8, 16,35,29,60,39,-2.9,38,0.0,2.1,92
 2005, 1, 8, 17,0,0,0,0,-3.2,38,0.0,3.0,93
 2005, 1, 8, 18,0,0,0,0,-3.5,38,0.0,3.4,94
 2005, 1, 8, 19,0,0,0,0,-3.9,38,0.0,3.0,92
 2005, 1, 8, 20,0,0,0,0,-4.2,38,0.0,2.7,93
 2005, 1, 8, 21,0,0,0,0,-4.6,38,0.0,3.0,95
 2005, 1, 8, 22,0,0,0,0,-4.9,38,0.0,4.6,97
 2005, 1, 8, 23,0,0,0,0,-5.3,38,0.0,4.8,100
 2005, 1, 8, 24,0,0,0,0,-5.6,37,0.0,5.7,100
 2005, 1, 9, 1,0,0,0,0,-5.7,37,0.0,4.6,100
 2005, 1, 9, 2,0,0,0,0,-5.7,37,0.0,5.2,100
 2005, 1, 9, 3,0,0,0,0,-5.7,37,0.0,5.4,100
 2005, 1, 9, 4,0,0,0,0,-5.7,37,0.0,5.2,100
 2005, 1, 9, 5,0,0,0,0,-5.6,37,0.0,4.8,100
 2005, 1, 9, 6,0,0,0,0,-5.6,37,0.0,4.0,100
 2005, 1, 9, 7,0,0,0,0,-5.5,37,0.0,5.0,100
 2005, 1, 9, 8,0,0,0,0,-5.5,36,0.0,5.0,100
 2005, 1, 9, 9,0,0,0,0,-5.4,36,0.0,3.8,100
 2005, 1, 9, 10,45,32,91,50,-3.7,36,0.0,4.8,93
 2005, 1, 9, 11,135,62,254,84,-1.0,36,0.0,5.0,85
 2005, 1, 9, 12,160,82,271,109,0.9,36,0.0,5.2,76
 2005, 1, 9, 13,89,87,95,90,1.1,35,0.0,4.3,73
 2005, 1, 9, 14,137,89,211,111,1.7,35,0.0,3.6,68
 2005, 1, 9, 15,75,63,102,75,1.5,34,0.0,3.8,66
 2005, 1, 9, 16,60,42,123,61,1.1,34,0.0,3.4,72
 2005, 1, 9, 17,0,0,0,0,0.0,34,0.0,3.4,75
 2005, 1, 9, 18,0,0,0,0,-0.7,33,0.0,5.0,75
 2005, 1, 9, 19,0,0,0,0,-1.3,33,0.0,5.7,79
 2005, 1, 9, 20,0,0,0,0,-1.9,33,0.0,5.2,80
 2005, 1, 9, 21,0,0,0,0,-2.6,33,0.0,5.2,84
 2005, 1, 9, 22,0,0,0,0,-3.2,33,0.0,5.0,88
 2005, 1, 9, 23,0,0,0,0,-3.8,33,0.0,4.0,89
 2005, 1, 9, 24,0,0,0,0,-4.5,33,0.0,4.3,89
 2005, 1, 10, 1,0,0,0,0,-5.5,33,0.0,4.0,89
 2005, 1, 10, 2,0,0,0,0,-6.6,33,0.0,5.4,92
 2005, 1, 10, 3,0,0,0,0,-7.6,32,0.0,4.3,96
 2005, 1, 10, 4,0,0,0,0,-8.2,32,0.0,3.6,99
 2005, 1, 10, 5,0,0,0,0,-8.8,32,0.0,4.0,100
 2005, 1, 10, 6,0,0,0,0,-9.4,32,0.0,4.6,98
 2005, 1, 10, 7,0,0,0,0,-9.8,32,0.0,4.0,97
 2005, 1, 10, 8,0,0,0,0,-10.2,32,0.0,3.6,95
 2005, 1, 10, 9,0,0,0,0,-10.2,32,0.0,3.8,96
 2005, 1, 10, 10,50,37,94,52,-8.9,32,0.0,5.4,96
 2005, 1, 10, 11,88,71,124,85,-7.8,32,0.0,6.6,95
 2005, 1, 10, 12,131,90,197,112,-6.7,32,0.0,6.1,90
 2005, 1, 10, 13,223,96,381,126,-5.0,32,0.0,6.8,87
 2005, 1, 10, 14,175,79,305,106,-4.4,32,0.0,7.6,84
 2005, 1, 10, 15,146,63,277,85,-4.1,32,0.0,8.8,82
 2005, 1, 10, 16,64,26,164,40,-4.9,32,0.0,8.8,86
 2005, 1, 10, 17,0,0,0,0,-6.1,32,0.0,8.0,92
 2005, 1, 10, 18,0,0,0,0,-6.5,32,0.0,11.6,92
 2005, 1, 10, 19,0,0,0,0,-7.0,31,0.0,10.8,95
 2005, 1, 10, 20,0,0,0,0,-7.4,31,0.0,9.6,96
 2005, 1, 10, 21,0,0,0,0,-7.8,31,0.0,7.6,99
 2005, 1, 10, 22,0,0,0,0,-8.3,31,0.0,5.9,99
 2005, 1, 10, 23,0,0,0,0,-8.7,31,0.0,5.9,95
 2005, 1, 10, 24,0,0,0,0,-9.1,31,0.0,6.4,93
 2005, 1, 11, 1,0,0,0,0,-9.3,31,0.0,6.1,91
 2005, 1, 11, 2,0,0,0,0,-9.4,31,0.0,5.9,92
 2005, 1, 11, 3,0,0,0,0,-9.5,31,0.0,6.4,92
 2005, 1, 11, 4,0,0,0,0,-9.5,31,0.0,5.7,93
 2005, 1, 11, 5,0,0,0,0,-9.5,31,0.0,6.1,94
 2005, 1, 11, 6,0,0,0,0,-9.5,30,0.0,6.8,99
 2005, 1, 11, 7,0,0,0,0,-9.5,30,0.0,6.6,98
 2005, 1, 11, 8,0,0,0,0,-9.5,30,0.0,6.3,98
 2005, 1, 11, 9,0,0,0,0,-9.4,30,0.0,7.6,95
 2005, 1, 11, 10,47,34,96,52,-7.6,30,0.0,7.6,92
 2005, 1, 11, 11,131,48,261,71,-5.0,30,0.0,7.0,83
 2005, 1, 11, 12,178,56,332,81,-2.8,30,0.0,6.3,76
 2005, 1, 11, 13,218,58,402,84,-0.9,30,0.0,6.4,70
 2005, 1, 11, 14,197,43,378,63,0.1,29,0.0,4.3,66
 2005, 1, 11, 15,138,40,281,59,0.3,29,0.0,7.1,67
 2005, 1, 11, 16,62,28,158,46,-0.7,29,0.0,7.6,72
 2005, 1, 11, 17,1,1,1,1,-2.3,29,0.0,8.0,76
 2005, 1, 11, 18,0,0,0,0,-2.7,29,0.0,9.6,76
 2005, 1, 11, 19,0,0,0,0,-3.2,29,0.0,8.8,78
 2005, 1, 11, 20,0,0,0,0,-3.6,29,0.0,8.0,78
 2005, 1, 11, 21,0,0,0,0,-4.1,28,0.0,7.3,81
 2005, 1, 11, 22,0,0,0,0,-4.5,28,0.0,7.3,83
 2005, 1, 11, 23,0,0,0,0,-5.0,28,0.0,7.1,85
 2005, 1, 11, 24,0,0,0,0,-5.4,28,0.0,8.0,86
 2005, 1, 12, 1,0,0,0,0,-6.1,28,0.0,9.9,90
 2005, 1, 12, 2,0,0,0,0,-7.0,28,0.0,9.1,94
 2005, 1, 12, 3,0,0,0,0,-7.8,28,0.0,7.3,97
 2005, 1, 12, 4,0,0,0,0,-8.3,28,0.0,6.3,99
 2005, 1, 12, 5,0,0,0,0,-8.8,28,0.0,6.1,99
 2005, 1, 12, 6,0,0,0,0,-9.3,28,0.0,6.1,100
 2005, 1, 12, 7,0,0,0,0,-9.7,28,0.0,6.6,100
 2005, 1, 12, 8,0,0,0,0,-10.1,28,0.0,5.0,100
 2005, 1, 12, 9,0,0,0,0,-10.2,27,0.0,4.3,100
 2005, 1, 12, 10,19,19,18,18,-10.1,27,0.0,4.3,100
 2005, 1, 12, 11,47,47,46,46,-9.9,27,0.0,3.8,100
 2005, 1, 12, 12,62,62,62,62,-9.8,27,0.0,2.9,100
 2005, 1, 12, 13,58,58,57,57,-9.8,27,0.0,3.8,100
 2005, 1, 12, 14,55,55,53,53,-9.8,27,0.0,4.0,100
 2005, 1, 12, 15,46,46,46,46,-10.0,27,0.1,3.6,100
 2005, 1, 12, 16,21,21,19,19,-10.2,27,0.0,3.0,100
